"contactId","warmOppCount","soOppCount","warmOppIds","soOppIds","company"
"gvy9dQ2hwvNPCyTIp38R","1","1","3YR9ZmeyBFop7hKWC5Ri","8rBzezvakqX9GwdCdCSh","Root and Bloom"
"19HYeZqRKbGPdheFJvH2","1","1","zKPTgYozWnjLeBaWCiIe","G804XzXyByZI6tXQL1BM","Trulieve"
"B01MQca9tyJ2QbZrN84k","1","1","9iNt6j4jAyjxqRUcDu5Z","dSqo53is5gPlTEINjcdy","C3 Industries"
"WZ9WSjiye2MshuhqiR3y","1","1","IZKDCsVkE82SEt0DWPB1","ZWkzKXN71EgsTbsRPNV3","Triage Partners, LLC"
"9HwylwWrIZhjz3uM2yGd","1","1","jOmfNff5bcr0Q7Cacs2y","MikfqILzbd7vKlu5I1hy","Canopy USA"
"4GscSqFcpxthQjwpP5aM","1","1","UA9RJGIrXb6HtXN4N9XS","vRuNpym3FnY8gk55frvs","Terrabis"
"fzXwdgZcR1mAazTQyAOO","1","1","jVQtxsLzgC77PasBG5U7","QqlpoZOs6Wfp1xLGecJn","Gr├╢n"
"rNfloH9jGOM1wSgQVlXX","1","1","hgsXkGUlEzBCDrr2Ma8h","r1IP8vzhSldxnClpBmhY","Rubicon OrganicsΓäó"
"ncfzLOCa79kHCJiFweui","1","1","MmXlD0hLlxPdnAa46KYD","6fBfXwmYeO2dEXY6MJme","Northgate Inc"
"kqFzSM2YlVcjy8jowsdU","1","1","0suAUw5nS0PepsqeDrhy","wlk9tvqHpMfXHGtvrLZB",""
"o0o6d2OegN1yX5EFRtoE","1","1","Im8qgQOCY0eoozyPoGM5","yZgCRzGVLoC032f6V1Pv","Green Thumb Industries (GTI)"
